grouping,method,n,terminal_mean,reasoning_mean,path_mean,total_mean,exact_rate,policy_clean_rate,match_rate_mean,fast_on_deep_mean,deep_on_fast_mean,agent_fast_count_mean,task_fast_count_mean,tokens_mean,pair_class,phase,archetype,family
method+pair_class,risky_ps_direct_cost,13,11.384615384615385,5.365980769230769,0.06528461538461539,16.81588076923077,0.07692307692307693,0.07692307692307693,0.49230769230769234,2.3846153846153846,0.15384615384615385,3.230769230769231,1.0,46807.692307692305,agent_fast__task_deep,,,
method+pair_class,risky_ps_direct_cost,3,1.8333333333333333,5.045515,0.06386666666666667,6.942715,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,46251.0,agent_fast__task_fast,,,
method+pair_class,risky_ps_ix,65,10.453846153846154,5.142879153846154,0.07126307692307693,15.667988384615386,0.16923076923076924,0.3384615384615385,0.8030769230769231,0.676923076923077,0.3076923076923077,1.3692307692307693,1.0,52374.75384615385,agent_deep__task_deep,,,
method+pair_class,risky_ps_ix,22,1.2954545454545454,4.854858181818182,0.07232727272727274,6.222639999999999,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,40300.0,agent_deep__task_fast,,,
method+pair_class,risky_ps_ix,10,8.9,5.012894,0.06411,13.977003999999999,0.1,0.2,0.5,2.5,0.0,3.5,1.0,43471.7,agent_fast__task_deep,,,
method+pair_class,risky_ps_ix,3,2.5,5.31764,0.06386666666666667,7.881506666666667,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,48111.0,agent_fast__task_fast,,,
method+pair_class,risky_ps_linear,53,10.30188679245283,5.058065943396226,0.07215849056603774,15.432111226415094,0.20754716981132076,0.2641509433962264,0.7886792452830189,0.7169811320754716,0.33962264150943394,1.3773584905660377,1.0,51779.301886792455,agent_deep__task_deep,,,
method+pair_class,risky_ps_linear,22,1.3181818181818181,4.760671818181819,0.07232727272727274,6.151180909090908,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,39475.818181818184,agent_deep__task_fast,,,
method+pair_class,risky_ps_linear,22,9.590909090909092,5.214975909090909,0.06465,14.870535,0.045454545454545456,0.09090909090909091,0.4636363636363636,2.5,0.18181818181818182,3.3181818181818183,1.0,45237.318181818184,agent_fast__task_deep,,,
method+pair_class,risky_ps_linear,3,1.8333333333333333,4.871175,0.06386666666666667,6.768375,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,44690.0,agent_fast__task_fast,,,
method+pair_class,risky_ps_old,59,10.271186440677965,5.1814042372881355,0.07253220338983052,15.525122881355932,0.22033898305084745,0.3559322033898305,0.8372881355932204,0.5084745762711864,0.3050847457627119,1.2033898305084745,1.0,53658.16949152543,agent_deep__task_deep,,,
method+pair_class,risky_ps_old,22,1.2045454545454546,5.0407375,0.07232727272727274,6.317610227272727,0.4090909090909091,0.9090909090909091,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,41939.5,agent_deep__task_fast,,,
method+pair_class,risky_ps_old,16,12.96875,4.9336340625,0.0649625,17.9673465625,0.0,0.0625,0.5375,2.25,0.0625,3.1875,1.0,44371.0,agent_fast__task_deep,,,
method+pair_class,risky_ps_old,3,2.5,5.093406666666667,0.06386666666666667,7.657273333333333,0.3333333333333333,0.6666666666666666,0.6,0.0,2.0,3.0,5.0,46499.666666666664,agent_fast__task_fast,,,
method+pair_class,risky_ps_safe_conditional,38,11.776315789473685,4.976808684210527,0.07158157894736843,16.82470605263158,0.13157894736842105,0.3157894736842105,0.8421052631578947,0.631578947368421,0.15789473684210525,1.4736842105263157,1.0,51781.5,agent_deep__task_deep,,,
method+pair_class,risky_ps_safe_conditional,22,1.25,5.167702727272727,0.07220454545454545,6.489907272727273,0.4090909090909091,0.9545454545454546,0.2545454545454546,0.0,3.727272727272727,1.2727272727272727,5.0,42912.77272727273,agent_deep__task_fast,,,
method+pair_class,risky_ps_safe_conditional,37,10.945945945945946,5.217498918918919,0.0644891891891892,16.227934054054057,0.08108108108108109,0.21621621621621623,0.49189189189189186,2.5135135135135136,0.02702702702702703,3.4864864864864864,1.0,46311.97297297297,agent_fast__task_deep,,,
